labels,ENG,DEU,NLD,SPA,TUR,POR,ITA
### pack0,165,3100
prgmsgerr00,Device does not exist,Gerät existiert nicht,Apparaat bestaat niet,El dispositivo no existe,Aygıt mevcut değil,Dispositivo não existe,Dispositivo inesistente
prgmsgerr01,OK,OK,OK,Aceptar,OK,OK,OK
prgmsgerr02,Device not initialised,Gerät nicht initialisiert,Apparaat niet geïnitialiseerd,Dispositivo no iniciado,Aygıt başlatılmadı,Dispositivo não inicializado,Dispositivo non inizializzato
prgmsgerr03,Media is damaged,Medium beschädigt,Medium beschadigd,Datos dañados,Medya hasar görmüş,Mídia danificada,Supporto danneggiato
prgmsgerr04,Partition does not exist,Partition existiert nicht,Partitie bestaat niet,La partición no existe,Bölümleme mevcut değil,Partição não existe,Partizione inesistente
prgmsgerr05,Unsupported media or partition,Nicht unterstütztes Medium/Partition,Niet ondersteund medium/partitie,Partición o medio no soportados,Desteklenmeyen medya veya bölümleme,Mídia ou partição não suportada,Supporto o partizione non supportate
prgmsgerr06,Error while sector read/write,Fehler beim Sektor-Zugriff,Fout bij sector lezen/schrijven,Error al leer/escribir sector,Sektör okuma/yazma sırasında hata,Erro ao ler/gravar setor,Errore di lettura/scrittura del settore
prgmsgerr07,Error while positioning,Positionierungsfehler,Fout bij positioneren,Error al posicionar,Konumlandırma sırasında hata,Erro ao posicionar,Errore di posizionamento
prgmsgerr08,Abort while volume access,Abbruch beim Datenträger-Zugriff,Afgebroken bij volume-toegang,Abortar mientras se accede al volumen,Birime erişim sırasında iptal,Acesso ao volume abortado,Errore durante l'accesso al volume
prgmsgerr09,Unknown volume error,Unbekannter Datenträger-Fehler,Onbekende volumefout,Error de volumen desconocido,Bilinmeyen birim hatası,Erro de volume desconhecido,Errore sconosciuto sul volume
prgmsgerr10,No free filehandler,Kein freier Dateihandler,Geen vrije filehandler,No hay gestor de archivo libre,Boşta dosya işleyici yok,Nenhum gestor de arquivo livre,Nessun gestore di archivio libero
prgmsgerr11,Device does not exist,Laufwerk existiert nicht,Apparaat bestaat niet,El dispositivo no existe,Aygıt mevcut değil,Dispositivo não existe,Dispositivo inesistente
prgmsgerr12,Path does not exist,Pfad existiert nicht,Pad bestaat niet,La ruta no existe,Yol mevcut değil,Caminho não existe,Percorso inesistente
prgmsgerr13,File does not exist,Datei existiert nicht,Bestand bestaat niet,El archivo no existe,Dosya mevcut değil,Arquivo não existe,File inesistente
prgmsgerr14,Access is forbidden,Zugriff untersagt,Toegang verboden,Acceso no permitido,Erişim yasak,Acesso negado,Accesso negato
prgmsgerr15,Invalid path or filename,Falscher Pfad/Dateiname,Ongeldig pad/bestandsnaam,Ruta o nombre de archivo no válido,Geçersiz yol veya dosya ismi,Caminho ou nome de arquivo inválido,Percorso o nome file invalido
prgmsgerr16,Filehandler does not exist,Dateihandler existiert nicht,Filehandler bestaat niet,El gestor de archivo no existe,Dosya işleyici mevcut değil,Gestor de arquivo não existe,Gestore di archivio inesistente
